name,subName,content,address,contact,operatingHour,amenities,imageUrls
도봉산,서울 북부를 대표하는 암봉과 계곡의 명산,"북한산국립공원 산지로, 뾰족한 암봉과 기암괴석이 압도적인 산입니다. 수려한 계곡이 사방으로 뻗어 서울의 금강산이라 불릴 만큼 경관이 뛰어납니다.",서울특별시 도봉구 도봉동,02-954-2566,14:00 - 17:00,주차장 / 화장실,https://tour.dobong.go.kr/Open_content/images/new_SRIFRI_A1_00058_1.jpg
서울창포원,도심 속에서 만나는 12개 테마 생태 식물원,"도봉산 자락에 조성된 특수 식물원으로 붓꽃원, 약용식물원, 습지원 등 12개 테마 공간으로 구성되어 있습니다. 다양한 생물을 관찰할 수 있고, 자연을 가까이에서 배우는 생태체험 장소입니다.",서울특별시 도봉구 마들로 916 ,02-954-0031 ,07:00~22:00,주차장 / 화장실,https://tour.dobong.go.kr/Open_content/images/new_SRIFRI_A1_00079_2.jpg
우이천과 벚꽃길,봄이면 꽃길이 펼쳐지는 도심 하천 산책로,"총연장 8.3km로 중랑천 지류 중 규모가 가장 큰 하천이며, 봄이면 벚꽃과 개나리가 하천을 따라 만개해 산책하기 좋은 도봉구 대표 명소입니다.",서울특별시 강북구 우이동,,,,https://tour.dobong.go.kr/Open_content/images/new_SRIFRI_A1_00154_01.jpg
둘리뮤지엄,추억의 아기공룡 둘리를 만나는 체험형 박물관,"아기공룡 둘리를 주제로 한 체험형 박물관으로, 만화 속 에피소드를 테마로 꾸민 뮤지엄동과 도서관동으로 구성되어 있습니다. 애니메이션 상영과 체험형 놀이터, 전시, 그림책 열람 공간까지 가족 나들이로 즐기기 좋습니다.",서울특별시 도봉구 시루봉로1길 6,02)990-2200,10:00 - 18:00,주차장 / 화장실,https://tour.dobong.go.kr/Open_Content/images/new_SRIFRI_A1_00128_03.jpg
방학동 은행나무,600년 세월을 간직한 도봉구의 상징 보호수,수령 약 600년에 이르는 거목으로 서울시 지정보호수 제1호이자  서울시 기념물 제33호로지정된 도봉구 대표 문화재입니다. 인근의 연산군묘와 북한산 둘레길과 연결되어 함께 둘러보기 좋은 산책 코스로 이어집니다.,서울특별시 도봉구 도봉로 123길 33-6 ,02-2091-2265,,,https://tour.dobong.go.kr/Open_content/images/new_SRIFRI_A1_00077_1.jpg
연산군묘,조선 제10대 임금의 역사가 남은 왕릉,"조선의 제10대 임금 연산군과 거창군부인 신씨의 묘입니다. 주변에 가족 묘와 함께 조성되어 있으며, 혼유석·장명등·향로석 등 조선 전기 능묘 석물이 비교적 잘 남아 있어 역사적 가치가 큽니다.",서울특별시 도봉구 방학동 산77번지,02-3494-0370,09:00~18:30,,https://tour.dobong.go.kr/Open_content/images/img_SRIFRI_A1_00065_3.gif
무수골,근심 없이 쉬어가는 자연 속 힐링 골짜기,"근심 없는 골짜기라는 뜻을 담고 있으며, 그린벨트 안에 있어 자연 경관이 잘 보존된 등산객 휴식처로 사랑받습니다. 친환경 벼농사와 주말 농장 등이 운영되어 농촌 체험도 즐길 수 있습니다. ",서울특별시 도봉구 도봉동,,,,https://tour.dobong.go.kr/Open_content/images/new_SRIFRI_A1_00130_03.jpg
전형필가옥,우리 문화유산을 지켜낸 간송의 발자취,"간송 전형필 선생의 발자취가 남아있는 곳으로, 일제강점기 빼앗긴 우리 문화유산을 수집·보전하며 민족 문화를 지키는 데 힘쓴 정신을 느낄 수 있습니다.",서울특별시 도봉구 시루봉로 149-18,02-954-5757,09:00 - 18:00,화장실,https://tour.dobong.go.kr/Open_Content/images/new_SRIFRI_A1_00139_01.jpg
함석헌 기념관,사상가 함석헌의 삶과 정신을 만나는 공간,"인권운동가·사상가·언론인이자 독립운동가인 함석헌 선생이 마지막 여생을 보낸 집을 리모델링해 만든 공간으로, 전시실·도서열람실·유리온실·씨알갤러리 등 주민 활용 공간을 갖추었습니다. ",서울특별시 도봉구 도봉로123길 33-6,02-905-7007,09:00 - 18:00,주차장 / 대기공간,https://tour.dobong.go.kr/Open_Content/images/new_SRIFRI_A1_00138_01.jpg
방학동도깨비시장,정겨운 골목 감성이 살아있는 전통시장,"1980년대부터 이어져 온 골목형 재래시장으로, 서울시 우수재래시장으로 선정된 곳입니다.",서울특별시 도봉구 방학로10길 51,02-901-5100,,주차장 ,https://tour.dobong.go.kr/Open_content/images/new_SRIFRI_A1_00076_1.jpg
